state,year,max,mean
New Mexico,2003,360520.9453125,34.270376205444336
New Mexico,2004,364991.8619791667,26.60727612177531
New Mexico,2005,369164.5416666667,33.88325103123983
New Mexico,2006,361765.234375,33.3873545328776
New Mexico,2007,367569.2890625,33.798233350118004
New Mexico,2008,355915.6197916667,32.823890209198
New Mexico,2009,333812.9375,30.9069987932841
New Mexico,2010,342757.78125,25.579614798227947
New Mexico,2011,333290.9713541667,25.17551310857137
New Mexico,2012,323302.0442708333,24.71764898300171
New Mexico,2013,330898.0677083333,25.180840969085693
New Mexico,2014,333890.734375,25.271920045216877
New Mexico,2015,327123.0182291667,24.801852862040203
New Mexico,2016,320672.3359375,24.41674868265788
New Mexico,2017,316755.8567708333,24.0454363822937
New Mexico,2018,326751.8619791667,24.748573780059814
New Mexico,2019,320763.4791666667,24.338632106781006
New Mexico,2020,289352.1302083333,22.15010658899943
New Mexico,2021,309644.3919270833,23.651097138722736
New Mexico,2022,313683.5182291667,24.337680180867512
North Carolina,2000,398092.7291666667,20.90920416514079
North Carolina,2001,392037.2838541667,20.59494702021281
North Carolina,2002,395715.9713541667,22.617319266001385
North Carolina,2003,399922.8463541667,22.857438882191975
North Carolina,2004,404882.2213541667,22.53086789449056
North Carolina,2005,409511.03125,24.691771666208904
North Carolina,2006,401303.0494791667,24.20422649383545
North Carolina,2007,407741.4270833333,24.581479867299397
North Carolina,2008,394814.1041666667,23.787813186645508
North Carolina,2009,370295.7526041667,22.261949221293133
North Carolina,2010,380217.4479166667,20.323862234751385
North Carolina,2011,369716.0338541667,19.76914660135905
North Carolina,2012,358635.4348958333,19.195360501607258
North Carolina,2013,367061.625,19.6486021677653
North Carolina,2014,370381.3671875,19.838350931803387
North Carolina,2015,362874.015625,19.441662470499676
North Carolina,2016,355718.3489583333,19.060731093088787
North Carolina,2017,351373.84375,18.833201726277668
North Carolina,2018,362462.296875,19.41652822494507
North Carolina,2019,355819.46875,19.072171211242676
North Carolina,2020,320975.2018229167,17.223149458567303
North Carolina,2021,343485.18359375,18.426891962687176
North Carolina,2022,347965.7369791667,18.651716629664104
Oklahoma,2000,224649.86979166666,22.18683624267578
Oklahoma,2001,221232.69140625,21.85211483637492
Oklahoma,2002,223309.10286458334,27.153981685638428
Oklahoma,2003,225683.11197916666,27.442394415537517
Oklahoma,2004,228482.09895833334,23.12382968266805
Oklahoma,2005,231096.5859375,29.83148209253947
Oklahoma,2006,226464.63802083334,29.239284833272297
Oklahoma,2007,230097.95703125,29.699775377909344
Oklahoma,2008,222802.75651041666,28.747008005777996
Oklahoma,2009,208966.4453125,26.92395257949829
Oklahoma,2010,214563.12760416666,18.77919928232829
Oklahoma,2011,208637.00651041666,18.264350414276123
Oklahoma,2012,202384.05208333334,17.727768898010254
Oklahoma,2013,207139.09114583334,18.1455815633138
Oklahoma,2014,209012.49479166666,18.316652139027912
Oklahoma,2015,204775.97135416666,17.94852081934611
Oklahoma,2016,200737.90494791666,17.595998764038086
Oklahoma,2017,198286.23307291666,17.384135882059734
Oklahoma,2018,204543.62760416666,17.926376342773438
Oklahoma,2019,200794.97265625,17.604480584462483
Oklahoma,2020,181131.77994791666,15.89130957921346
Oklahoma,2021,193834.5390625,17.00338904062907
Oklahoma,2022,196362.97786458334,17.21620512008667
Pennsylvania,2000,445898.0807291667,35.11408646901449
Pennsylvania,2001,439115.4635416667,34.58513641357422
Pennsylvania,2002,443235.1666666667,35.44430955251058
Pennsylvania,2003,447947.21875,35.82072003682455
Pennsylvania,2004,453502.2317708333,34.7707846959432
Pennsylvania,2005,458682.7005208333,36.47195339202881
Pennsylvania,2006,449489.1588541667,35.74849764506022
Pennsylvania,2007,456700.6171875,36.31065686543783
Pennsylvania,2008,442221.0494791667,35.14472262064616
Pennsylvania,2009,414758.6588541667,32.91223510106405
Pennsylvania,2010,425872.6901041667,31.92611042658488
Pennsylvania,2011,414110.3020833333,31.052348454793293
Pennsylvania,2012,401699.1927083333,30.14435354868571
Pennsylvania,2013,411137.1666666667,30.855318864186604
Pennsylvania,2014,414855.5442708333,31.14896869659424
Pennsylvania,2015,406446.7395833333,30.524171193440754
Pennsylvania,2016,398431.8411458333,29.92521635691325
Pennsylvania,2017,393565.6744791667,29.566107432047527
Pennsylvania,2018,405985.5755208333,30.485808213551838
Pennsylvania,2019,398545.1041666667,29.94101858139038
Pennsylvania,2020,359516.8723958333,27.031590302785236
Pennsylvania,2021,384729.7760416667,28.92232863108317
Pennsylvania,2022,389748.3177083333,29.28076998392741
Puerto Rico,2000,509.70232645670575,32.99527311325073
Puerto Rico,2001,529.9021759033203,34.30289808909098
Puerto Rico,2002,579.6986592610677,40.6971492767334
Puerto Rico,2003,610.2221018473307,42.84001859029134
Puerto Rico,2004,604.1937866210938,42.01197528839111
Puerto Rico,2005,514.6362584431967,45.68559710184733
Puerto Rico,2006,545.1413904825846,48.39362112681071
Puerto Rico,2007,560.2760264078776,49.737161000569664
Puerto Rico,2008,566.1765797932943,50.260969479878746
Puerto Rico,2009,562.2666931152344,49.91387685139974
Puerto Rico,2010,576.4846343994141,41.86412111918131
Puerto Rico,2011,582.9403177897135,42.332929929097496
Puerto Rico,2012,589.4823201497396,42.80800851186117
Puerto Rico,2013,594.6836903889974,43.185729344685875
Puerto Rico,2014,608.5048268636068,44.18941688537598
Puerto Rico,2015,629.2915547688802,45.69894218444824
Puerto Rico,2016,624.6823679606119,45.36422252655029
Puerto Rico,2017,615.0684763590494,44.66606585184733
Puerto Rico,2018,621.5680287679037,45.138060887654625
Puerto Rico,2019,640.3601531982422,46.502739906311035
Puerto Rico,2020,555.6756795247396,40.35297966003418
Puerto Rico,2021,594.2703399658203,43.15571276346842
Puerto Rico,2022,601.3445739746094,43.66944122314453
South Dakota,2000,89513.859375,9.439210494359335
South Dakota,2001,88152.25130208333,9.298006137212118
South Dakota,2002,88982.37434895833,13.319865226745605
South Dakota,2003,89928.35026041667,13.461222251256308
South Dakota,2004,91041.052734375,8.853249152501425
South Dakota,2005,92083.58919270833,12.860408624013266
South Dakota,2006,90237.92708333333,12.607458591461182
South Dakota,2007,91685.66861979167,12.802485624949137
South Dakota,2008,88778.79752604167,12.387216250101725
South Dakota,2009,83265.51888020833,11.586149215698242
South Dakota,2010,85502.54752604167,7.44613516330719
South Dakota,2011,83141.017578125,7.243839462598165
South Dakota,2012,80649.25455729167,7.03624169031779
South Dakota,2013,82544.12174479167,7.202698866526286
South Dakota,2014,83290.67252604167,7.273959954579671
South Dakota,2015,81602.44010416667,7.129275878270467
South Dakota,2016,79993.28841145833,6.98993440469106
South Dakota,2017,79016.30989583333,6.907238165537517
South Dakota,2018,81509.849609375,7.119624336560567
South Dakota,2019,80016.03385416667,6.994981487592061
South Dakota,2020,72180.33919270833,6.319461862246196
South Dakota,2021,77242.34016927083,6.760554949442546
South Dakota,2022,78249.90169270833,6.840845346450806
Tennessee,2000,364790.453125,19.984103520711262
Tennessee,2001,359241.5703125,19.68333387374878
Tennessee,2002,362612.890625,23.053502082824707
Tennessee,2003,366467.84375,23.298293272654217
Tennessee,2004,371012.5052083333,20.968749046325684
Tennessee,2005,375254.015625,24.094974835713703
Tennessee,2006,367732.6510416667,23.618438879648846
Tennessee,2007,373632.4453125,23.987729867299397
Tennessee,2008,361786.546875,23.21473964055379
Tennessee,2009,339319.2786458333,21.730761369069416
Tennessee,2010,348411.6640625,19.206411679585774
Tennessee,2011,338788.7057291667,18.6813489596049
Tennessee,2012,328635.0026041667,18.1367449760437
Tennessee,2013,336356.3229166667,18.564702192942303
Tennessee,2014,339398.3567708333,18.742445786794026
Tennessee,2015,332519.0026041667,18.366979440053303
Tennessee,2016,325961.9114583333,18.006792227427166
Tennessee,2017,321980.8385416667,17.791171232859295
Tennessee,2018,332141.7265625,18.343627134958904
Tennessee,2019,326054.5677083333,18.01683251063029
Tennessee,2020,294125.078125,16.267743746439617
Tennessee,2021,314752.0625,17.405237038930256
Tennessee,2022,318857.8138020833,17.619577328364056
Texas,2000,511073.6302083333,28.51442527770996
Texas,2001,503299.6067708333,28.21142864227295
Texas,2002,508022.8411458333,37.065199851989746
Texas,2003,513423.6536458333,37.61383787790934
Texas,2004,519790.7604166667,30.9169282913208
Texas,2005,525733.1380208334,37.292328198750816
Texas,2006,515195.6666666667,36.666476249694824
Texas,2007,523461.3177083333,37.16935380299886
Texas,2008,506865.140625,36.048661867777504
Texas,2009,475388.3541666667,33.86498912175497
Texas,2010,488126.8489583333,30.130099932352703
Texas,2011,474645.0234375,29.518893718719482
Texas,2012,460419.6276041667,28.856750011444092
Texas,2013,471237.2421875,29.452836513519287
Texas,2014,475499.1484375,29.62467845280965
Texas,2015,465861.1380208333,29.054019292195637
Texas,2016,456674.6171875,28.555866559346516
Texas,2017,451097.0989583333,28.155542850494385
Texas,2018,465332.5677083333,28.993089199066162
Texas,2019,456804.4166666667,28.503268718719482
Texas,2020,412071.0078125,25.853901704152424
Texas,2021,440969.5416666667,27.627995491027832
Texas,2022,446721.7239583333,28.258545239766438
Utah,2000,326035.3046875,41.11184883117676
Utah,2001,321075.9479166667,40.49109045664469
Utah,2002,324088.8567708333,45.43217786153158
Utah,2003,327534.2578125,45.91479174296061
Utah,2004,331601.6354166667,36.64467112223307
Utah,2005,335390.6848958333,48.75813102722168
Utah,2006,328668.3359375,47.79019991556803
Utah,2007,333941.3723958333,48.54287083943685
Utah,2008,323353.84375,46.985652923583984
Utah,2009,303273.1848958333,44.006072998046875
Utah,2010,311393.5677083333,32.19827429453532
Utah,2011,302793.0390625,31.315618832906086
Utah,2012,293718.1770833333,30.395854473114014
Utah,2013,300619.1302083333,31.112261295318604
Utah,2014,303337.9791666667,31.405737559000652
Utah,2015,297189.5520833333,30.774610201517742
Utah,2016,291329.140625,30.17020908991496
Utah,2017,287771.0494791667,29.807016372680664
Utah,2018,296852.3541666667,30.736602942148846
Utah,2019,291411.9557291667,30.184832096099854
