geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
NM,26799.76614001964,27649.760298601283,22082.506998488505,22003.95747509007,19057.29848684118,24576.86860961718,32643.003103156396,35711.42805108673,39539.04872380131,41194.051241587375,41934.58057814312,43021.00881243262,43581.84237374901,44556.71310210423,46413.6648029521,47150.35782127472,48781.62248191567,44926.6321059412,56336.9109088073,61760.40143867407,56881.17612369201,47232.69606777299,51880.53175319704
NV,67680.59455500662,70360.4546970085,61071.40999992388,64416.44989463431,77239.39751154478,83216.14753792812,93197.30971841,95747.852317697,101644.23127113073,107482.41028064278,98669.31125306591,90879.99777984792,105168.56378619312,102020.9772537536,94225.28083922234,118413.5670956121,117892.85361493069,110249.94625928263,111603.7663874351,108703.64517721061,113973.56495416226,110208.47221167786,105662.88384195552
NY,337973.7001393939,341432.16185574565,306892.27948607365,315110.433074757,332103.69994123874,372592.4306784443,282747.2677417493,303924.6440358911,262687.4706011298,235795.3265899364,262153.1556773345,260947.05482666797,293538.5702606505,273128.5069379379,278954.1480085508,288701.16875609144,280342.45328007574,232647.59545590047,255187.13732268976,227912.43217598577,251214.76130075223,266575.53192188236,289687.6520458904
OH,10223.538276986237,10427.462150620857,16614.483601764252,15116.923205016818,25642.92612496793,30676.80036819168,27661.485789863942,33244.64331633544,27525.132935589063,34654.68760877258,47316.975963996076,66665.41575011027,110611.88824394709,107407.54389426748,113350.82348747276,134323.60096159947,135196.44023292128,130715.81429289858,199583.98420571323,215924.3253998094,226907.762157795,233846.62353566082,283465.01255059976
OK,98177.5348865529,96938.00659118744,106215.04923948066,109156.23445204647,111455.72206865644,134117.19803444797,153426.7930688943,158285.1663304468,155496.88310536195,157483.37724593506,160056.9724768586,146864.42246622505,175083.45650885144,138187.62699633403,116623.23063744883,143536.04549562497,156296.24842499927,128099.65537315121,179709.33902871844,192666.75241977442,190795.11394928332,146366.37515758365,158567.1090668647
OR,39254.60830080204,46584.72073381176,31451.0746824838,41840.83162668161,49308.446771714895,49029.346399912516,42262.17518816373,56931.98207654355,64381.18950891591,60213.700097276465,60462.692957513915,33967.88606320544,45501.60605524701,56967.80715737422,50778.518719966945,64219.9446232925,60585.923664058704,59472.21313712196,69967.81310985159,81370.98956867956,73900.12292810796,83464.89041831283,75411.51195746481
PA,55692.91269137165,51406.86893850682,60566.11504745224,69825.86576617586,86945.32713341397,97913.55828280818,77840.42484209394,103406.31600475709,98548.35493489783,137719.8741174352,154415.5754488286,185190.63385945183,232493.4975341249,218583.46087376494,235299.57913819194,262003.30540284966,293426.99197385204,305649.56501037127,314991.85204848327,384527.6064852374,469950.7235163056,481617.0655520111,500802.212858387
RI,26665.506140043697,32080.61554024907,29323.798252855027,22942.30313512971,19667.450240917813,23977.577560828242,23411.7138479593,28174.2000565892,28882.8910252898,30208.27901690446,30918.068394359816,34870.011505216586,33340.95572312441,25773.885009000132,25015.77624551472,27967.693267796505,25812.756573535975,28090.265652454378,31704.697612266882,28192.393774106073,31917.034214567328,33846.971181797824,27909.335801930378
SC,9874.353256347182,10364.921463323162,24120.18915752131,11828.608584929169,25093.170023277326,30593.148404095242,30713.41562586721,31241.17022974772,28179.993336082833,46573.12910136444,49771.46862248649,56204.13714648899,64537.98021845238,52242.85870013781,50294.52076959912,76467.23809470418,74176.054863533,75304.5791880381,97160.32175925051,100447.91976034851,100881.48064030847,98190.17659173717,105372.54548562354
SD,2629.6816719068706,2994.812934724071,836.3041540696136,1419.2798758563242,1220.0288202992147,2242.3436883754807,1988.1191303291366,2978.9936213966766,1715.9957369957615,736.873488950689,1077.1369980952795,1064.8661670967433,1535.3888245912308,2458.9853040057355,2394.8227919372703,3751.243753673596,4347.105008874042,3407.5264037306297,5376.332409312083,5489.483679163978,5244.082465005661,6865.322751643827,7024.363536382744
TN,10801.916604373746,8016.55160825348,4843.168907805368,7673.937880645075,3365.427570234605,5648.273112183661,5926.709863036414,6238.915489857434,5017.049687144947,4422.370390711324,14817.043915082542,16652.928276256975,35893.85370331692,21956.286701321344,27160.446804201973,39512.51107853891,48806.68716626068,42166.99661312292,56243.93915555051,64783.515869778996,57326.16942880648,54057.9013182468,67757.24559251197
TX,883711.376098135,848861.7001496938,858128.1117957429,808498.0122089175,775467.6763156325,817760.0450283962,816215.8102164752,814242.8266214422,793534.6323030151,768393.697659482,739006.8728209818,797850.9738652806,826608.6947579333,776710.8167666243,778881.973623992,891592.7379309433,840047.014928134,750876.3717412215,896230.5058526557,970058.2997658926,941266.3693370008,882611.9589201591,977765.8261094111
UT,7092.678634221535,9624.713313138263,9404.344275035712,8664.52542852587,6027.213098012132,7931.204853898442,17683.330993640386,32417.193113899182,32006.350333689217,28604.764513984912,27982.962394565566,23196.206374851103,26993.743035928852,28182.79181697182,33110.474523813326,31929.462732752916,33735.69228790041,23297.802174180142,34035.75340333529,37830.41545686963,37656.21004373572,42550.63749549376,45035.07352067786
VA,44886.53321453592,61930.436450862144,54394.933886441264,68883.73956939139,70463.22750402144,74670.54358318284,49494.35549270068,75093.26194136283,61652.354097711155,68770.63558133462,94714.01590937766,90234.00466596762,116178.69358636069,106297.6314551751,106713.15191648222,153925.13011107527,178028.91363895882,181457.87731295172,213792.5452213152,237801.26178173427,259363.40953722902,222200.23787613751,204222.90373772028
VT,2226.2539510903766,1447.4270207143109,1200.527249355467,1110.6630699656464,1279.857988239821,1236.7856929154664,1289.7695145208127,1198.200943065693,1044.3530161373078,1199.467350306062,1453.9046885200173,1305.301902402693,1183.7483036590706,1462.998917907079,1675.4861769886193,1595.8230968583016,1433.7039939627114,1342.6718130829747,985.3331731925241,1105.087704751228,1110.878792081455,1054.8434778753222,1312.7354066094993
WA,46010.58356223267,51986.79336164538,24675.460069552937,33593.569705067515,37863.883685268236,37612.36630793312,34594.50801012472,33555.0161445104,43036.069589480394,52211.913663967796,45853.066310102906,23754.473938130886,25761.47690988772,50008.90469337742,49376.31307436326,57316.87371541249,49011.19921940804,48407.680775304514,46101.214780486465,63044.292492965935,56544.2060789075,66508.89464509413,57864.973911664856
WI,14660.319324766217,15003.454078121897,13564.198393779383,16083.882098632455,18161.94402347573,38295.638744923635,32661.98457140521,38957.02826336549,30887.52834906308,28776.810716675547,29688.22310115662,30927.528721436738,48721.56507094117,34799.99876653757,35000.6166516697,56423.35450044798,66490.72524588199,60240.68183259449,72064.52289956574,82324.28093800151,89161.14474698153,86500.87452721332,98087.88128020294
WV,2785.026852312464,3823.0106291352868,3595.2753644319323,3476.869990032287,3428.4807981312943,3480.309106029165,3870.047423484564,4254.025017829387,2691.1683030045074,2730.135682776737,2959.7997754108665,3699.6244074336137,3177.8647911142853,3710.4752410088486,6037.5611053329,9597.075796220523,7641.8610693581095,7686.472074613141,7983.784277052519,10998.172676057187,13706.736884557382,13057.30592233644,11577.289824268062
WY,1651.0850436468306,2169.802236925245,2552.0617214070794,1956.7970400204083,1072.2868612675486,1100.2384926720893,1310.5260845617945,1890.58972259667,1332.3999243436099,1317.5562039966017,1210.413691104147,1100.3494997822056,998.0314613243986,813.3740667962059,1144.9453236241836,1388.80561777966,1543.320712058533,1442.6777651076861,1720.6055282275715,2525.956711829295,3889.4723683313623,5273.396018212157,6422.9892557056055
