geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
RI,47340.1448282835,47731.52467683761,46657.75437610927,46548.06199464906,45039.26656313662,44418.80234979605,45233.55858565489,44056.438607778764,42684.35876536983,42477.60083242462,42666.84627889787,40416.213372903185,38560.72332975332,38253.21039620932,41614.31609668294,41320.952576588556,38761.346719817615,39525.62397782375,41099.79570045726,40658.13519159814,34209.88475016881,37805.559709299814,38912.34937183162
SC,285509.3041089178,284141.27364748827,287490.7806377877,292211.57041408954,320234.01121016376,305895.05061666743,313639.7110778103,312797.8337160795,302646.62017032976,306106.5224127221,307447.7918216702,308198.1914835644,300694.44778514176,309650.7170548962,301985.43527965894,315920.19473276415,327417.1674934078,331317.85944794514,330264.406992224,328098.019774056,294908.2210848833,330367.41740728205,322772.8109375593
SD,62983.99471537673,61454.99412112602,63752.19150877264,63657.95127139358,63741.41085867131,64391.78691619918,63757.375733081826,66802.23483542948,63578.00002557025,64031.34750091426,65865.26497208598,65748.59399332764,68510.42043238689,65582.15204456986,68998.73227362164,68910.01417579947,69600.50911135237,69632.35664264245,70103.23662655812,68455.52897282883,67251.61702919334,72366.7222361359,71001.57159676038
TN,418763.1083966689,410934.29304523964,427449.6876311633,438543.3363242038,434661.83813026355,442896.6921894809,439784.3312760746,439449.1668972452,417448.1665958511,397100.27455232124,408127.17403780745,402548.10641078727,390020.15477362374,386762.4270881916,402093.5495699134,404660.1768937637,416806.4690276904,418707.09896181343,424386.3122360648,444551.9820625593,412047.9262041444,449906.8916840035,441393.26677376346
TX,1693285.7214335348,1740885.4893898887,1820027.225273811,1782791.8618943004,1770819.0798157866,1783006.2300963784,1846487.617955949,1883295.4432733872,1835995.8925713324,1719516.4249882738,1678747.5276202378,1699215.1325626431,1748809.5814634787,1874076.636620712,1883667.284235918,1899166.1079785938,1959472.8488832777,1996800.021247775,2076848.7739887713,2116862.492479986,1841329.696635124,2074160.4980602225,2103264.3761630617
UT,159226.56694465494,152837.4553524501,158171.08321315525,161366.56824738433,164562.88456740943,166573.50864691427,182273.98056093702,180982.67030901305,169920.11259576102,160834.27706546054,156159.0385449194,166348.21438260342,162491.00019651683,162714.33675928356,165227.3551332861,164739.55367879267,172367.946251309,175845.11353308958,183618.80804109143,181145.2094964635,172400.38503253943,184153.44200192456,185890.12759659512
VA,493262.8057580624,493186.1552816086,493529.70680605335,517479.5007141429,545727.1464662557,544866.9163376509,541233.8343023371,552251.0255760463,513359.2945227891,495108.061786655,515757.1385865174,487253.7781643949,495806.2405199651,488749.68622077606,506882.452567532,502936.48197006824,518410.2958549412,521942.77190284303,526537.4810289105,523348.45227149,465713.9834054335,503129.28443613567,486517.35665764345
VT,38868.687468272336,39124.810627242616,38429.823674263745,39538.73539000878,39418.77640865341,39339.20037037763,39021.46056225565,38423.928411873094,35881.89613947421,35483.289014318245,34414.10587382782,33518.52933947739,32926.69208761583,32700.140192182327,32804.3169332437,32632.449881344055,33115.41439555877,32684.4120020099,31302.94049409562,32291.24584573492,27143.405996256704,29251.870528374908,28648.635472926126
WA,404593.357551278,388543.7185532316,380771.1735251245,378196.43044793635,387210.59572186443,388411.11755501066,392024.75347616256,404250.55147531186,372451.92218524264,363183.53062577435,345569.6451200417,343081.91586237977,342255.3423488772,351984.4287236162,348101.163489687,354141.71491569397,374649.9349350552,378951.75706825155,387313.6542476576,395826.4784760686,310191.4608072151,377140.01924754365,378556.206729572
WI,314017.8688191618,314160.54316970013,318667.14522929926,319309.425373205,324838.9167699226,319211.0654086549,318152.45399423444,319884.113113554,310759.8670208198,297886.04302432714,306354.09384298173,294794.75650127354,295113.47495594545,286356.8694397373,312044.82648874185,300022.64270114177,301364.50807637,298176.9148875985,318535.5013561052,310213.59018982935,280651.2007865499,302701.45967976254,304482.00040856504
WV,126808.40318919864,124945.10233964521,124806.74602023259,117341.95853248391,120847.04585484817,120050.25820273066,119364.73676471991,119151.05937045017,109853.44875135025,115804.01665793876,118482.38392192859,114141.79630791672,119396.11533054253,114123.64255439783,116072.27883150612,122243.11517149117,109730.23425019882,119404.21806807774,136296.18202920092,136663.2305725098,115910.00378332444,137717.63778644713,133250.31208581195
WY,72521.14019207172,76383.9151327845,74419.28930477944,73778.4741518639,77090.91230448322,78563.77881794312,80175.12146316157,84762.92469351992,84946.28907413762,78992.3846833076,81807.83142369046,75049.38249471848,80035.89717302701,78946.79439808929,78690.32650137723,74794.12277722762,72663.51998830655,71294.18170439752,74844.94846544984,73802.36943472973,69552.31199260525,72595.79760280153,68807.62687615237
